productId,productName,category,fieldId,label,type,required,options,help
password_security_checkup,Password Security Checkup,Quick Fixes,business_name,Business name,text,True,,Legal or public-facing business name.
password_security_checkup,Password Security Checkup,Quick Fixes,contact_name,Primary contact name,text,True,,Main person Maine Cyber Tech should coordinate with.
password_security_checkup,Password Security Checkup,Quick Fixes,contact_email,Primary contact email,email,True,,"Used for scheduling, service updates, and deliverables."
password_security_checkup,Password Security Checkup,Quick Fixes,contact_phone,Best phone number,tel,False,,"Useful for urgent, onsite, or access-sensitive work."
password_security_checkup,Password Security Checkup,Quick Fixes,business_address,Business address or service location,textarea,False,,"Required for onsite, Wi-Fi, network, camera, hardware, or location-specific services."
password_security_checkup,Password Security Checkup,Quick Fixes,urgency,How urgent is this request?,select,True,Not urgent;This week;ASAP;Emergency,Emergency work may require separate emergency support terms.
password_security_checkup,Password Security Checkup,Quick Fixes,users_count,Approximate number of users,number,False,,Estimate is acceptable.
password_security_checkup,Password Security Checkup,Quick Fixes,devices_count,Approximate number of devices,number,False,,"Include computers, phones, tablets, printers, network gear, and cameras if relevant."
password_security_checkup,Password Security Checkup,Quick Fixes,current_provider,"Current provider/platform, if known",text,False,,"Examples: Microsoft 365, Google Workspace, Cloudflare, GoDaddy, UniFi, Comcast, Spectrum, WordPress."
password_security_checkup,Password Security Checkup,Quick Fixes,admin_access_available,Do you have authorized admin access?,select,True,Yes;No;Not sure,Do not paste credentials into this form. Maine Cyber Tech will coordinate safe access separately.
password_security_checkup,Password Security Checkup,Quick Fixes,primary_goal,What are you trying to accomplish?,textarea,True,,"Describe the business goal, pain point, risk, outage, or improvement you want."
password_security_checkup,Password Security Checkup,Quick Fixes,preferred_session_type,Preferred session type,select,False,Remote;Onsite;Either,
password_security_checkup,Password Security Checkup,Quick Fixes,known_accounts_or_systems,Known accounts/systems involved,textarea,False,,
mfa_setup_session,MFA Setup Session,Quick Fixes,business_name,Business name,text,True,,Legal or public-facing business name.
mfa_setup_session,MFA Setup Session,Quick Fixes,contact_name,Primary contact name,text,True,,Main person Maine Cyber Tech should coordinate with.
mfa_setup_session,MFA Setup Session,Quick Fixes,contact_email,Primary contact email,email,True,,"Used for scheduling, service updates, and deliverables."
mfa_setup_session,MFA Setup Session,Quick Fixes,contact_phone,Best phone number,tel,False,,"Useful for urgent, onsite, or access-sensitive work."
mfa_setup_session,MFA Setup Session,Quick Fixes,business_address,Business address or service location,textarea,False,,"Required for onsite, Wi-Fi, network, camera, hardware, or location-specific services."
